Posto;Bairro;Combustivel;Preco medio (R$);Qtd. de amostras
Auto Posto R M Ltda;Praia de Itaparica;Diesel S10;6.496;26
Posto Itapoa Ltda;Itapoan;Diesel S10;6.584;21
Auto Posto de Combustivel RTT Ltda;Divino Espirito Santo;Diesel S10;6.672;25
Posto Perim Ltda;Itaparica;Diesel S10;6.698;24
Posto Champagnat Ltda;Praia da Costa;Diesel S10;6.781;22
Posto Itapoa Ltda;Itapoan;Etanol;4.67;21
Auto Posto R M Ltda;Praia de Itaparica;Etanol;4.704;27
Posto Champagnat Ltda;Praia da Costa;Etanol;4.922;22
Posto Perim Ltda;Itaparica;Etanol;4.957;24
Auto Posto de Combustivel RTT Ltda;Divino Espirito Santo;Etanol;5.0;25
Auto Posto de Combustivel RTT Ltda;Divino Espirito Santo;Gasolina aditivada;6.581;25
Posto Perim Ltda;Itaparica;Gasolina aditivada;6.619;24
Posto Itapoa Ltda;Itapoan;Gasolina aditivada;6.625;21
Auto Posto R M Ltda;Praia de Itaparica;Gasolina aditivada;6.775;26
Posto Champagnat Ltda;Praia da Costa;Gasolina aditivada;6.808;22
Auto Posto de Combustivel RTT Ltda;Divino Espirito Santo;Gasolina comum;6.368;25
Auto Posto R M Ltda;Praia de Itaparica;Gasolina comum;6.372;27
Posto Itapoa Ltda;Itapoan;Gasolina comum;6.397;21
Posto Perim Ltda;Itaparica;Gasolina comum;6.419;24
Posto Champagnat Ltda;Praia da Costa;Gasolina comum;6.503;22
