Posto;Bairro;Combustivel;Preco (R$);Data da coleta
Posto Cobilândia;Cobilândia;Diesel S10;5.993;17/05/2025
Posto Glória;Glória;Diesel S10;6.062;17/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Diesel S10;6.115;17/05/2025
Posto Itapoã;Itapoã;Diesel S10;6.218;17/05/2025
Posto Praia da Costa;Praia da Costa;Diesel S10;6.228;17/05/2025
Posto Cobilândia;Cobilândia;Etanol;4.623;17/05/2025
Posto Glória;Glória;Etanol;4.634;17/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Etanol;4.672;17/05/2025
Posto Itapoã;Itapoã;Etanol;4.738;17/05/2025
Posto Praia da Costa;Praia da Costa;Etanol;4.82;17/05/2025
Posto Cobilândia;Cobilândia;Gasolina aditivada;6.266;17/05/2025
Posto Glória;Glória;Gasolina aditivada;6.423;17/05/2025
Posto Itapoã;Itapoã;Gasolina aditivada;6.459;17/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina aditivada;6.485;17/05/2025
Posto Praia da Costa;Praia da Costa;Gasolina aditivada;6.631;17/05/2025
Posto Cobilândia;Cobilândia;Gasolina comum;6.216;17/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina comum;6.272;17/05/2025
Posto Glória;Glória;Gasolina comum;6.316;17/05/2025
Posto Itapoã;Itapoã;Gasolina comum;6.353;17/05/2025
Posto Praia da Costa;Praia da Costa;Gasolina comum;6.437;17/05/2025
