id_coleta,posto,bairro,endereco,bandeira,combustivel,data_coleta,preco
1,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-01-07,6.090
2,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-01-12,6.090
3,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-01-19,6.090
4,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-01-26,6.090
5,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-02-03,6.060
6,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-02-09,6.060
7,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-02-18,6.060
8,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-02-23,6.060
9,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-03-05,6.090
10,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-03-11,6.390
11,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-03-16,6.390
12,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-03-23,6.990
13,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-05-04,6.790
14,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-05-18,6.790
15,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-05-25,6.790
16,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-06-01,6.790
17,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-06-08,6.740
18,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-06-15,6.740
19,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-06-22,6.740
20,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-06-29,6.740
21,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-07-07,6.740
22,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-07-13,6.740
23,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-07-21,6.740
24,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-07-27,6.720
25,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-08-10,6.690
26,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Diesel S10,2026-08-24,6.690
27,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-01-07,4.720
28,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-01-12,4.720
29,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-01-19,4.760
30,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-01-26,4.760
31,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-02-03,4.790
32,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-02-09,4.790
33,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-02-18,4.890
34,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-02-23,4.890
35,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-03-05,4.890
36,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-03-11,4.990
37,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-03-16,4.990
38,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-03-23,4.990
39,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-05-04,4.890
40,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-05-18,4.890
41,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-05-25,4.750
42,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-06-01,4.750
43,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-06-08,4.590
44,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-06-15,4.590
45,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-06-22,4.540
46,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-06-29,4.540
47,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-07-07,4.540
48,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-07-13,4.540
49,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-07-21,4.540
50,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-07-27,4.490
51,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-08-10,4.390
52,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-08-19,4.390
53,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Etanol,2026-08-24,4.390
54,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-01-07,6.690
55,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-01-12,6.690
56,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-01-19,6.690
57,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-01-26,6.690
58,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-02-03,6.590
59,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-02-09,6.590
60,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-02-18,6.490
61,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-02-23,6.490
62,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-03-05,6.460
63,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-03-11,6.990
64,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-03-16,6.990
65,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-03-23,6.960
66,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-05-04,6.820
67,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-05-18,6.820
68,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-05-25,6.790
69,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-06-01,6.790
70,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-06-08,6.750
71,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-06-15,6.750
72,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-06-22,7.070
73,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-06-29,7.070
74,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-07-07,6.960
75,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-07-13,6.890
